# Program:featureCounts v2.0.3; Command:"featureCounts" "-F" "SAF" "-s" "2" "-O" "-a" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/hg38_transcript_start_stop.SAF" "-o" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/results/feature_counts_hg38_WITH-0_saf.txt" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/bams/one_bam_file/IP25.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/daliasebat/Desktop/Yeo-Lab-Summer/bams/one_bam_file/IP25.sorted.bam
snoZ196	chr2	206161840	206161929	+	90	38
hsa-mir-423	chr17	30117078	30117172	-	95	0
hsa-mir-1253	chr17	2748077	2748182	+	106	0
ZZZ3	chr1	77562415	77682658	-	120244	10281
ZZEF1	chr17	4004444	4143030	-	138587	6440
ZYX	chr7	143381344	143391111	+	9768	852
ZYG11B	chr1	52726452	52827336	+	100885	5009
ZYG11A	chr1	52842510	52894998	+	52489	8765
ZXDC	chr3	126437600	126475891	-	38292	8173
ZXDB	chrX	57591651	57597545	+	5895	583
ZXDA	chrX	57906707	57910820	-	4114	234
ZWINT	chr10	56357226	56361259	-	4034	9040
ZWILCH	chr15	66505325	66550130	+	44806	1929
ZW10	chr11	113733186	113773692	-	40507	1270
ZUP1	chr6	116635617	116668766	-	33150	2222
ZSWIM9	chr19	48170679	48197620	+	26942	1278
ZSWIM8-AS1	chr10	73796513	73801399	-	4887	1303
ZSWIM8	chr10	73785605	73801793	+	16189	4074
ZSWIM7	chr17	15976559	15999704	-	23146	1451
ZSWIM6	chr5	61332257	61546172	+	213916	12841
ZSWIM5	chr1	45016398	45206605	-	190208	5937
ZSWIM4	chr19	13795459	13832230	+	36772	305
ZSWIM3	chr20	45857613	45879122	+	21510	454
ZSWIM2	chr2	186827474	186849170	-	21697	1
ZSWIM1	chr20	45881226	45885266	+	4041	494
ZSCAN9	chr6	28225274	28233487	+	8214	1643
ZSCAN5C	chr19	56202300	56209452	+	7153	1
ZSCAN5B	chr19	56189569	56197920	-	8352	3
ZSCAN5A	chr19	56221311	56368383	-	147073	2839
ZSCAN4	chr19	57668934	57679152	+	10219	0
ZSCAN32	chr16	3382080	3401065	-	18986	954
ZSCAN31	chr6	28324739	28356271	-	31533	85
ZSCAN30	chr18	35251057	35290245	-	39189	1900
ZSCAN29	chr15	43358171	43370048	-	11878	2673
ZSCAN26	chr6	28267009	28278221	+	11213	1331
ZSCAN25	chr7	99616945	99632408	+	15464	1529
ZSCAN23	chr6	28432654	28443467	-	10814	632
ZSCAN22	chr19	58326993	58342332	+	15340	560
ZSCAN21	chr7	100049773	100065040	+	15268	899
ZSCAN20	chr1	33472644	33496507	+	23864	1210
ZSCAN2	chr15	84601004	84623716	+	22713	854
ZSCAN18	chr19	58084481	58118426	-	33946	486
ZSCAN16-AS1	chr6	28015121	28136821	-	121701	1556
ZSCAN16	chr6	28124608	28130082	+	5475	300
ZSCAN12	chr6	28378954	28399734	-	20781	4009
ZSCAN10	chr16	3088889	3099294	-	10406	15
ZSCAN1	chr19	58034024	58054631	+	20608	2
ZRSR2	chrX	15790483	15823260	+	32778	1634
ZRANB3	chr2	135196968	135531218	-	334251	10748
ZRANB2-AS2	chr1	71081323	71474007	+	392685	2228
ZRANB2-AS1	chr1	71048854	71067184	+	18331	68
ZRANB2	chr1	71063290	71081035	-	17746	15178
ZRANB1	chr10	124942122	124988189	+	46068	3646
ZPR1	chr11	116773798	116788023	-	14226	1534
ZPLD1	chr3	102099243	102477677	+	378435	13
